,node_number,feature,threshold,children_left,children_right,mother_node,node_depth,is_leaves,values,0,1,2,3,4,5,6,7,8,9
0,0,pixel_4_1,3.5,1,16,-1,0,False,,0.09999999999999958,0.09999999999999949,0.09999999999999958,0.09999999999999949,0.09999999999999949,0.09999999999999949,0.09999999999999949,0.09999999999999945,0.09999999999999958,0.09999999999999945
1,1,pixel_4_6,0.5,2,9,0,1,False,,0.008873073296224939,0.11082642528814286,0.1449268638383408,0.1420851606258242,0.005683406425032967,0.11650983171317583,0.06535917388787912,0.11884002834743934,0.14196917273959914,0.1449268638383406
2,2,pixel_3_3,9.5,3,6,1,2,False,,0.0,0.17729249039665743,0.24091275480770305,0.10834541079795731,0.0,0.13296936779749308,0.029548748399442906,0.040186297823242345,0.22553534492636026,0.04520958505114764
3,3,pixel_5_5,8.5,4,5,2,3,False,,0.0,0.029988677744116995,0.5618286973285592,0.20992074420881898,0.0,0.05997735548823399,0.014994338872058498,0.07647112824749834,0.046819058110713276,0.0
4,4,LEAF_NODE,-2.0,-1,-1,3,4,True,,0.0,0.0,0.7822428677856169,0.0,0.0,0.06442000087646256,0.021473333625487524,0.10951400148998637,0.0223497962224462,0.0
5,5,LEAF_NODE,-2.0,-1,-1,3,4,True,,0.0,0.09939148073022312,0.05172413793103449,0.6957403651115619,0.0,0.04969574036511156,0.0,0.0,0.10344827586206898,0.0
6,6,pixel_5_2,3.5,7,8,2,3,False,,0.0,0.24933550441799754,0.08395991475299917,0.058667177510117074,0.0,0.16866813534158656,0.036666985943823165,0.02244019539761978,0.31294150044299707,0.06732058619285933
7,7,LEAF_NODE,-2.0,-1,-1,6,4,True,,0.0,0.3023109601678134,0.0,0.11516608006392891,0.0,0.3311024801837956,0.0,0.04405102562445281,0.08990005229480166,0.11746940166520747
8,8,LEAF_NODE,-2.0,-1,-1,6,4,True,,0.0,0.1943269940634169,0.17114198378269527,0.0,0.0,0.0,0.07474115156285266,0.0,0.5445426756722123,0.015247194918821944
9,9,pixel_6_3,8.5,10,13,1,2,False,,0.020977525255295112,0.02015487720606785,0.013985016836863408,0.18811218725663326,0.013436584804045233,0.09405609362831663,0.11421097083438447,0.22613772225208137,0.027970033673726816,0.2809589882525858
10,10,pixel_2_6,1.5,11,12,9,3,False,,0.02747607964830618,0.03959787949314714,0.0,0.29038444961641235,0.0,0.18479010430135331,0.0,0.026926558055340055,0.0,0.4308249288854411
11,11,LEAF_NODE,-2.0,-1,-1,10,4,True,,0.0,0.0,0.0,0.40919719407638355,0.0,0.2727981293842557,0.0,0.0,0.0,0.3180046765393609
12,12,LEAF_NODE,-2.0,-1,-1,10,4,True,,0.08516749607561537,0.12274139140309273,0.0,0.040913797134364244,0.0,0.0,0.0,0.08346414615410307,0.0,0.6677131692328243
13,13,pixel_2_3,3.5,14,15,9,3,False,,0.014241036524070138,0.0,0.028482073048140277,0.0820953870211102,0.027365129007036734,0.0,0.23260359655981222,0.432642689601251,0.05696414609628055,0.1256059421422986
14,14,LEAF_NODE,-2.0,-1,-1,13,4,True,,0.0,0.0,0.0,0.09505703422053227,0.0,0.0,0.0,0.8079847908745247,0.0,0.09695817490494292
15,15,LEAF_NODE,-2.0,-1,-1,13,4,True,,0.025064381057225422,0.0,0.050128762114450845,0.0722443924590615,0.048162928306041,0.0,0.4093848906013485,0.14737856061648547,0.10025752422890169,0.14737856061648547
16,16,pixel_0_3,10.5,17,24,0,1,False,,0.30283393702190126,0.07590211209244578,0.0,0.006325176007703816,0.30993362437748695,0.06325176007703816,0.17710492821570684,0.058065115750721014,0.00658334645699785,0.0
17,17,pixel_6_4,7.5,18,21,16,2,False,,0.030984768859699755,0.14884839942404782,0.0,0.0,0.610278437638596,0.014884839942404781,0.13396355948164304,0.04554761022375864,0.015492384429849878,0.0
18,18,pixel_5_2,7.0,19,20,17,3,False,,0.08644067796610172,0.08305084745762713,0.0,0.0,0.08305084745762713,0.0,0.747457627118644,0.0,0.0,0.0
19,19,LEAF_NODE,-2.0,-1,-1,18,4,True,,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
20,20,LEAF_NODE,-2.0,-1,-1,18,4,True,,0.10365853658536586,0.0,0.0,0.0,0.0,0.0,0.896341463414634,0.0,0.0,0.0
21,21,pixel_4_6,0.5,22,23,17,3,False,,0.018875326617171367,0.16321605957201119,0.0,0.0,0.7254047092089386,0.018135117730223468,0.0,0.05549346025448381,0.018875326617171367,0.0
22,22,LEAF_NODE,-2.0,-1,-1,21,4,True,,0.0,0.6328646813535554,0.0,0.0,0.09040924019336506,0.09040924019336506,0.0,0.09221742499723237,0.09409941326248202,0.0
23,23,LEAF_NODE,-2.0,-1,-1,21,4,True,,0.02361154836200671,0.04537121057797367,0.0,0.0,0.8847386062704865,0.0,0.0,0.046278634789533146,0.0,0.0
24,24,pixel_2_6,0.5,25,28,16,2,False,,0.5037172718457061,0.021998347879179665,0.0,0.010999173939589832,0.08799339151671866,0.0989925654563085,0.20898430485220681,0.06731494451028977,0.0,0.0
25,25,pixel_5_2,11.5,26,27,24,3,False,,0.1346902125112242,0.04313608113104565,0.0,0.0,0.0862721622620913,0.19411236508970542,0.40979277074493364,0.13199640826099968,0.0,0.0
26,26,LEAF_NODE,-2.0,-1,-1,25,4,True,,0.0,0.1324503311258278,0.0,0.0,0.0,0.5298013245033112,0.0,0.3377483443708609,0.0,0.0
