,node_number,feature,threshold,children_left,children_right,mother_node,node_depth,is_leaves,values,0,1
0,0,worst perimeter,106.0999984741211,1,16,-1,0,False,,0.5000000000000014,0.5000000000000023
1,1,worst concave points,0.15890000015497208,2,13,0,1,False,,0.06200055111600997,0.9379994488839908
2,2,radius error,1.0192500054836273,3,12,1,2,False,,0.028659864725438508,0.9713401352745618
3,3,worst smoothness,0.19054999947547913,4,9,2,3,False,,0.021650020206685536,0.9783499797933148
4,4,worst radius,15.769999980926514,5,6,3,4,False,,0.014601098002569797,0.9853989019974303
5,5,LEAF_NODE,-2.0,-1,-1,4,5,True,,0.0,1.0
6,6,worst texture,29.68000030517578,7,8,4,5,False,,0.23496240601503757,0.7650375939849625
7,7,LEAF_NODE,-2.0,-1,-1,6,6,True,,0.0,1.0
8,8,LEAF_NODE,-2.0,-1,-1,6,6,True,,1.0,0.0
9,9,worst smoothness,0.19574999809265137,10,11,3,4,False,,0.6281407035175879,0.37185929648241206
10,10,LEAF_NODE,-2.0,-1,-1,9,5,True,,1.0,0.0
11,11,LEAF_NODE,-2.0,-1,-1,9,5,True,,0.0,1.0
12,12,LEAF_NODE,-2.0,-1,-1,2,3,True,,1.0,0.0
13,13,mean perimeter,68.18500137329102,14,15,1,2,False,,0.894134477825465,0.10586552217453506
14,14,LEAF_NODE,-2.0,-1,-1,13,3,True,,0.0,1.0
15,15,LEAF_NODE,-2.0,-1,-1,13,3,True,,1.0,0.0
16,16,worst texture,20.645000457763672,17,20,0,1,False,,0.9215062317687621,0.0784937682312386
17,17,mean concave points,0.07508499920368195,18,19,16,2,False,,0.47632008709853024,0.5236799129014699
18,18,LEAF_NODE,-2.0,-1,-1,17,3,True,,0.0,1.0
19,19,LEAF_NODE,-2.0,-1,-1,17,3,True,,1.0,0.0
20,20,mean concave points,0.04951999895274639,21,26,16,2,False,,0.9695616406158187,0.030438359384181525
21,21,concave points error,0.009886499959975481,22,25,20,3,False,,0.6925207756232687,0.3074792243767314
22,22,mean concavity,0.07337499968707561,23,24,21,4,False,,0.931098696461825,0.06890130353817506
23,23,LEAF_NODE,-2.0,-1,-1,22,5,True,,1.0,0.0
24,24,LEAF_NODE,-2.0,-1,-1,22,5,True,,0.0,1.0
25,25,LEAF_NODE,-2.0,-1,-1,21,4,True,,0.0,1.0
26,26,fractal dimension error,0.012910000048577785,27,28,20,3,False,,0.9952484910748685,0.004751508925131637
27,27,LEAF_NODE,-2.0,-1,-1,26,4,True,,1.0,0.0
28,28,LEAF_NODE,-2.0,-1,-1,26,4,True,,0.0,1.0
