,node_number,feature,threshold,children_left,children_right,mother_node,node_depth,is_leaves,values,0,1
0,0,mean concave points,0.049230000004172325,1,8,-1,0,False,,0.5000000000000014,0.5000000000000023
1,1,worst radius,16.829999923706055,2,5,0,1,False,,0.06251041840306724,0.9374895815969336
2,2,area error,48.70000076293945,3,4,1,2,False,,0.007585411736149037,0.992414588263851
3,3,LEAF_NODE,-2.0,-1,-1,2,3,True,,0.0,1.0
4,4,LEAF_NODE,-2.0,-1,-1,2,3,True,,0.6281407035175879,0.37185929648241206
5,5,mean texture,18.835000038146973,6,7,1,2,False,,0.6587615283267458,0.3412384716732544
6,6,LEAF_NODE,-2.0,-1,-1,5,3,True,,0.0,1.0
7,7,LEAF_NODE,-2.0,-1,-1,5,3,True,,0.9310986964618249,0.06890130353817504
8,8,worst concavity,0.22345000505447388,9,12,0,1,False,,0.9143293164237231,0.08567068357627765
9,9,worst perimeter,122.1500015258789,10,11,8,2,False,,0.12339585389930897,0.8766041461006912
10,10,LEAF_NODE,-2.0,-1,-1,9,3,True,,0.0,1.0
11,11,LEAF_NODE,-2.0,-1,-1,9,3,True,,1.0,0.0
12,12,radius error,0.19345000386238098,13,14,8,2,False,,0.9588660366870485,0.04113396331295175
13,13,LEAF_NODE,-2.0,-1,-1,12,3,True,,0.0,1.0
14,14,LEAF_NODE,-2.0,-1,-1,12,3,True,,0.9708464655560559,0.02915353444394424
