,node_number,feature,threshold,children_left,children_right,mother_node,node_depth,is_leaves,values,0,1
0,0,worst perimeter,103.25,1,20,-1,0,False,,0.5000000000000014,0.5000000000000023
1,1,worst concave points,0.1415499970316887,2,15,0,1,False,,0.05665722379603403,0.9433427762039667
2,2,worst area,782.7000122070312,3,12,1,2,False,,0.022515761032722903,0.9774842389672773
3,3,radius error,0.6255500018596649,4,9,2,3,False,,0.015192027224112786,0.9848079727758875
4,4,worst texture,33.35000038146973,5,6,3,4,False,,0.007724154977445465,0.9922758450225546
5,5,LEAF_NODE,-2.0,-1,-1,4,5,True,,0.0,1.0
6,6,worst texture,33.55999946594238,7,8,4,5,False,,0.09549274255156609,0.904507257448434
7,7,LEAF_NODE,-2.0,-1,-1,6,6,True,,1.0,0.0
8,8,LEAF_NODE,-2.0,-1,-1,6,6,True,,0.0,1.0
9,9,mean compactness,0.06257499940693378,10,11,3,4,False,,0.45787545787545786,0.5421245421245422
10,10,LEAF_NODE,-2.0,-1,-1,9,5,True,,1.0,0.0
11,11,LEAF_NODE,-2.0,-1,-1,9,5,True,,0.0,1.0
12,12,mean perimeter,90.375,13,14,2,3,False,,0.6281407035175879,0.37185929648241206
13,13,LEAF_NODE,-2.0,-1,-1,12,4,True,,1.0,0.0
14,14,LEAF_NODE,-2.0,-1,-1,12,4,True,,0.0,1.0
15,15,worst texture,25.769999504089355,16,17,1,2,False,,0.628140703517588,0.3718592964824121
16,16,LEAF_NODE,-2.0,-1,-1,15,3,True,,0.0,1.0
17,17,mean perimeter,71.81500244140625,18,19,15,3,False,,0.894134477825465,0.10586552217453506
18,18,LEAF_NODE,-2.0,-1,-1,17,4,True,,0.0,1.0
19,19,LEAF_NODE,-2.0,-1,-1,17,4,True,,1.0,0.0
20,20,mean concave points,0.048864999786019325,21,28,0,1,False,,0.9043927648578817,0.09560723514211912
21,21,worst radius,16.824999809265137,22,23,20,2,False,,0.5079423716291099,0.49205762837089045
22,22,LEAF_NODE,-2.0,-1,-1,21,3,True,,0.0,1.0
23,23,concave points error,0.010125500150024891,24,27,21,3,False,,0.7879656160458454,0.21203438395415478
24,24,mean symmetry,0.14434999972581863,25,26,23,4,False,,0.9028233749179252,0.09717662508207486
25,25,LEAF_NODE,-2.0,-1,-1,24,5,True,,0.0,1.0
26,26,LEAF_NODE,-2.0,-1,-1,24,5,True,,1.0,0.0
27,27,LEAF_NODE,-2.0,-1,-1,23,4,True,,0.0,1.0
28,28,worst texture,20.875,29,32,20,2,False,,0.9688758036411707,0.031124196358829605
29,29,worst perimeter,119.6500015258789,30,31,28,3,False,,0.5914826498422713,0.40851735015772883
30,30,LEAF_NODE,-2.0,-1,-1,29,4,True,,0.0,1.0
31,31,LEAF_NODE,-2.0,-1,-1,29,4,True,,1.0,0.0
32,32,LEAF_NODE,-2.0,-1,-1,28,3,True,,1.0,0.0
