,node_number,feature,threshold,children_left,children_right,mother_node,node_depth,is_leaves,values,0,1
0,0,worst perimeter,105.1500015258789,1,14,-1,0,False,,0.5000000000000014,0.5000000000000023
1,1,worst concavity,0.396699994802475,2,7,0,1,False,,0.05526693931690068,0.9447330606830999
2,2,worst texture,33.10499954223633,3,4,1,2,False,,0.007418837913229273,0.9925811620867708
3,3,LEAF_NODE,-2.0,-1,-1,2,3,True,,0.0,1.0
4,4,worst texture,33.79999923706055,5,6,2,3,False,,0.12339585389930897,0.8766041461006912
5,5,LEAF_NODE,-2.0,-1,-1,4,4,True,,1.0,0.0
6,6,LEAF_NODE,-2.0,-1,-1,4,4,True,,0.0,1.0
7,7,concavity error,0.077479999512434,8,13,1,2,False,,0.7028112449799198,0.2971887550200804
8,8,mean compactness,0.11335000023245811,9,10,7,3,False,,0.9220231822971547,0.0779768177028451
9,9,LEAF_NODE,-2.0,-1,-1,8,4,True,,0.0,1.0
10,10,worst smoothness,0.13825000077486038,11,12,8,4,False,,1.0,0.0
11,11,LEAF_NODE,-2.0,-1,-1,10,5,True,,1.0,0.0
12,12,LEAF_NODE,-2.0,-1,-1,10,5,True,,1.0,0.0
13,13,LEAF_NODE,-2.0,-1,-1,7,3,True,,0.0,1.0
14,14,worst concave points,0.14630000293254852,15,26,0,1,False,,0.9256320744737125,0.07436792552628815
15,15,worst texture,19.90999984741211,16,17,14,2,False,,0.6736893679568834,0.32631063204311606
16,16,LEAF_NODE,-2.0,-1,-1,15,3,True,,0.0,1.0
17,17,worst area,869.2999877929688,18,21,15,3,False,,0.7716049382716047,0.2283950617283952
18,18,worst smoothness,0.1375500038266182,19,20,17,4,False,,0.3602305475504322,0.6397694524495678
19,19,LEAF_NODE,-2.0,-1,-1,18,5,True,,0.0,1.0
20,20,LEAF_NODE,-2.0,-1,-1,18,5,True,,1.0,0.0
21,21,texture error,1.8434999585151672,22,25,17,4,False,,0.9413396749900912,0.05866032500990887
22,22,mean symmetry,0.15114999562501907,23,24,21,5,False,,0.9697835851367905,0.03021641486320949
23,23,LEAF_NODE,-2.0,-1,-1,22,6,True,,0.0,1.0
24,24,LEAF_NODE,-2.0,-1,-1,22,6,True,,1.0,0.0
25,25,LEAF_NODE,-2.0,-1,-1,21,5,True,,0.0,1.0
26,26,radius error,0.24125000089406967,27,30,14,2,False,,0.9950080949811118,0.004991905018888295
27,27,worst compactness,0.3151499927043915,28,29,26,3,False,,0.894134477825465,0.10586552217453506
28,28,LEAF_NODE,-2.0,-1,-1,27,4,True,,0.0,1.0
29,29,LEAF_NODE,-2.0,-1,-1,27,4,True,,1.0,0.0
30,30,LEAF_NODE,-2.0,-1,-1,26,3,True,,1.0,0.0
