,node_number,feature,threshold,children_left,children_right,mother_node,node_depth,is_leaves,values,0,1
0,0,worst perimeter,104.1500015258789,1,16,-1,0,False,,0.5000000000000014,0.5000000000000023
1,1,worst smoothness,0.1782499998807907,2,15,0,1,False,,0.05642067253441665,0.943579327465584
2,2,worst area,785.75,3,12,1,2,False,,0.021931107082285517,0.9780688929177147
3,3,radius error,0.6430999934673309,4,9,2,3,False,,0.014792899408284028,0.9852071005917162
4,4,worst texture,33.35000038146973,5,6,3,4,False,,0.007551501238446202,0.9924484987615538
5,5,LEAF_NODE,-2.0,-1,-1,4,5,True,,0.0,1.0
6,6,worst texture,33.79999923706055,7,8,4,5,False,,0.10766580534022395,0.8923341946597761
7,7,LEAF_NODE,-2.0,-1,-1,6,6,True,,1.0,0.0
8,8,LEAF_NODE,-2.0,-1,-1,6,6,True,,0.0,1.0
9,9,mean compactness,0.06257499940693378,10,11,3,4,False,,0.36023054755043227,0.6397694524495677
10,10,LEAF_NODE,-2.0,-1,-1,9,5,True,,1.0,0.0
11,11,LEAF_NODE,-2.0,-1,-1,9,5,True,,0.0,1.0
12,12,mean perimeter,89.43000030517578,13,14,2,3,False,,0.6281407035175879,0.37185929648241206
13,13,LEAF_NODE,-2.0,-1,-1,12,4,True,,1.0,0.0
14,14,LEAF_NODE,-2.0,-1,-1,12,4,True,,0.0,1.0
15,15,LEAF_NODE,-2.0,-1,-1,1,2,True,,1.0,0.0
16,16,worst concavity,0.2180500030517578,17,20,0,1,False,,0.9078647022203783,0.09213529777962258
17,17,worst symmetry,0.321399986743927,18,19,16,2,False,,0.12339585389930897,0.8766041461006912
18,18,LEAF_NODE,-2.0,-1,-1,17,3,True,,0.0,1.0
19,19,LEAF_NODE,-2.0,-1,-1,17,3,True,,1.0,0.0
20,20,mean concave points,0.04732999950647354,21,26,16,2,False,,0.9513771012429504,0.0486228987570499
21,21,compactness error,0.01699999999254942,22,25,20,3,False,,0.6002400960384154,0.39975990396158484
22,22,mean texture,16.964999675750732,23,24,21,4,False,,0.8710801393728222,0.1289198606271777
23,23,LEAF_NODE,-2.0,-1,-1,22,5,True,,0.0,1.0
24,24,LEAF_NODE,-2.0,-1,-1,22,5,True,,1.0,0.0
25,25,LEAF_NODE,-2.0,-1,-1,21,4,True,,0.0,1.0
26,26,mean texture,15.375,27,30,20,3,False,,0.9866240886907274,0.013375911309272787
27,27,mean concave points,0.07508499920368195,28,29,26,4,False,,0.7716049382716049,0.22839506172839508
28,28,LEAF_NODE,-2.0,-1,-1,27,5,True,,0.0,1.0
29,29,LEAF_NODE,-2.0,-1,-1,27,5,True,,1.0,0.0
30,30,LEAF_NODE,-2.0,-1,-1,26,4,True,,1.0,0.0
