,node_number,feature,threshold,children_left,children_right,mother_node,node_depth,is_leaves,values,0,1
0,0,worst perimeter,114.6500015258789,1,14,-1,0,False,,0.5000000000000014,0.5000000000000023
1,1,worst concave points,0.15129999816417694,2,9,0,1,False,,0.13077801027201846,0.8692219897279828
2,2,area error,38.16000175476074,3,6,1,2,False,,0.05247691015952987,0.9475230898404706
3,3,worst smoothness,0.19054999947547913,4,5,2,3,False,,0.02102135769942263,0.9789786423005777
4,4,LEAF_NODE,-2.0,-1,-1,3,4,True,,0.014113130856949313,0.9858868691430508
5,5,LEAF_NODE,-2.0,-1,-1,3,4,True,,1.0,0.0
6,6,worst texture,27.53499984741211,7,8,2,3,False,,0.5135579293344289,0.4864420706655712
7,7,LEAF_NODE,-2.0,-1,-1,6,4,True,,0.1743375174337517,0.8256624825662483
8,8,LEAF_NODE,-2.0,-1,-1,6,4,True,,1.0,0.0
9,9,mean compactness,0.11719999834895134,10,11,1,2,False,,0.8874239350912779,0.11257606490872214
10,10,LEAF_NODE,-2.0,-1,-1,9,3,True,,0.0,1.0
11,11,perimeter error,1.5399999618530273,12,13,9,3,False,,0.9594298245614036,0.040570175438596506
12,12,LEAF_NODE,-2.0,-1,-1,11,4,True,,0.0,1.0
13,13,LEAF_NODE,-2.0,-1,-1,11,4,True,,1.0,0.0
14,14,mean symmetry,0.12639999762177467,15,16,0,1,False,,0.9861006761833209,0.013899323816679212
15,15,LEAF_NODE,-2.0,-1,-1,14,2,True,,0.0,1.0
16,16,worst perimeter,117.44999694824219,17,20,14,2,False,,0.9906906529123161,0.009309347087684001
17,17,worst texture,27.660000801086426,18,19,16,3,False,,0.8085381630012937,0.19146183699870636
18,18,LEAF_NODE,-2.0,-1,-1,17,4,True,,0.0,1.0
19,19,LEAF_NODE,-2.0,-1,-1,17,4,True,,1.0,0.0
20,20,LEAF_NODE,-2.0,-1,-1,16,3,True,,1.0,0.0
