,node_number,feature,threshold,children_left,children_right,mother_node,node_depth,is_leaves,values,0,1
0,0,worst perimeter,105.95000076293945,1,6,-1,0,False,,0.5000000000000014,0.5000000000000023
1,1,worst smoothness,0.17830000072717667,2,5,0,1,False,,0.06174872385970696,0.9382512761402938
2,2,worst radius,15.78000020980835,3,4,1,2,False,,0.028418779129248624,0.9715812208707518
3,3,LEAF_NODE,-2.0,-1,-1,2,3,True,,0.015056612864370033,0.9849433871356302
4,4,LEAF_NODE,-2.0,-1,-1,2,3,True,,0.2525252525252525,0.7474747474747475
5,5,LEAF_NODE,-2.0,-1,-1,1,2,True,,1.0,0.0
6,6,worst area,884.5499877929688,7,10,0,1,False,,0.9251371066503384,0.07486289334966208
7,7,worst smoothness,0.13795000314712524,8,9,6,2,False,,0.5636489767603193,0.43635102323968106
8,8,LEAF_NODE,-2.0,-1,-1,7,3,True,,0.09549274255156609,0.904507257448434
9,9,LEAF_NODE,-2.0,-1,-1,7,3,True,,0.9529860228716646,0.04701397712833546
10,10,worst smoothness,0.0879799984395504,11,12,6,2,False,,0.990690652912316,0.009309347087684
11,11,LEAF_NODE,-2.0,-1,-1,10,3,True,,0.0,1.0
12,12,LEAF_NODE,-2.0,-1,-1,10,3,True,,0.9953235591506573,0.004676440849342778
