,node_number,feature,threshold,children_left,children_right,mother_node,node_depth,is_leaves,values,0,1
0,0,worst perimeter,105.95000076293945,1,16,-1,0,False,,0.5000000000000016,0.5000000000000023
1,1,worst compactness,0.43675000965595245,2,13,0,1,False,,0.054377379010331746,0.9456226209896688
2,2,radius error,1.047549992799759,3,12,1,2,False,,0.02128625759209855,0.9787137424079017
3,3,worst smoothness,0.19054999947547913,4,9,2,3,False,,0.014292247884747322,0.985707752115253
4,4,smoothness error,0.0033490000059828162,5,8,3,4,False,,0.007228358295263982,0.9927716417047361
5,5,fractal dimension error,0.0013230000040493906,6,7,4,5,False,,0.2525252525252525,0.7474747474747475
6,6,LEAF_NODE,-2.0,-1,-1,5,6,True,,1.0,0.0
7,7,LEAF_NODE,-2.0,-1,-1,5,6,True,,0.0,1.0
8,8,LEAF_NODE,-2.0,-1,-1,4,5,True,,0.0,1.0
9,9,worst smoothness,0.19574999809265137,10,11,3,4,False,,0.6281407035175879,0.37185929648241206
10,10,LEAF_NODE,-2.0,-1,-1,9,5,True,,1.0,0.0
11,11,LEAF_NODE,-2.0,-1,-1,9,5,True,,0.0,1.0
12,12,LEAF_NODE,-2.0,-1,-1,2,3,True,,1.0,0.0
13,13,mean smoothness,0.09925999864935875,14,15,1,2,False,,0.8085381630012937,0.19146183699870636
14,14,LEAF_NODE,-2.0,-1,-1,13,3,True,,0.0,1.0
15,15,LEAF_NODE,-2.0,-1,-1,13,3,True,,1.0,0.0
16,16,worst concavity,0.22055000066757202,17,22,0,1,False,,0.9403546480386892,0.05964535196131128
17,17,mean fractal dimension,0.055515000596642494,18,21,16,2,False,,0.45787545787545786,0.5421245421245423
18,18,smoothness error,0.004703500075265765,19,20,17,3,False,,0.8710801393728222,0.1289198606271777
19,19,LEAF_NODE,-2.0,-1,-1,18,4,True,,0.0,1.0
20,20,LEAF_NODE,-2.0,-1,-1,18,4,True,,1.0,0.0
21,21,LEAF_NODE,-2.0,-1,-1,17,3,True,,0.0,1.0
22,22,mean concave points,0.039844999089837074,23,30,16,2,False,,0.9704304144308712,0.029569585569128965
23,23,compactness error,0.01607999997213483,24,29,22,3,False,,0.6281407035175879,0.37185929648241217
24,24,fractal dimension error,0.001281999982893467,25,26,23,4,False,,0.9101941747572814,0.08980582524271845
25,25,LEAF_NODE,-2.0,-1,-1,24,5,True,,0.0,1.0
26,26,worst compactness,0.1676499992609024,27,28,24,5,False,,1.0,0.0
27,27,LEAF_NODE,-2.0,-1,-1,26,6,True,,1.0,0.0
28,28,LEAF_NODE,-2.0,-1,-1,26,6,True,,1.0,0.0
29,29,LEAF_NODE,-2.0,-1,-1,23,4,True,,0.0,1.0
30,30,worst concave points,0.11134999990463257,31,34,22,3,False,,0.9954667973535899,0.004533202646410202
31,31,worst texture,21.774999618530273,32,33,30,4,False,,0.7716049382716049,0.2283950617283951
32,32,LEAF_NODE,-2.0,-1,-1,31,5,True,,0.0,1.0
33,33,LEAF_NODE,-2.0,-1,-1,31,5,True,,1.0,0.0
34,34,LEAF_NODE,-2.0,-1,-1,30,4,True,,1.0,0.0
