,node_number,feature,threshold,children_left,children_right,mother_node,node_depth,is_leaves,values,0,1
0,0,worst perimeter,107.20000076293945,1,8,-1,0,False,,0.5000000000000016,0.5000000000000023
1,1,worst concave points,0.13505000621080399,2,5,0,1,False,,0.09178642609881474,0.9082135739011862
2,2,area error,48.97500038146973,3,4,1,2,False,,0.022219588789476802,0.9777804112105234
3,3,LEAF_NODE,-2.0,-1,-1,2,3,True,,0.015056612864370033,0.9849433871356302
4,4,LEAF_NODE,-2.0,-1,-1,2,3,True,,0.45787545787545786,0.5421245421245422
5,5,worst texture,25.9399995803833,6,7,1,2,False,,0.6281407035175881,0.3718592964824123
6,6,LEAF_NODE,-2.0,-1,-1,5,3,True,,0.1445086705202312,0.8554913294797689
7,7,LEAF_NODE,-2.0,-1,-1,5,3,True,,0.9441087613293051,0.055891238670694864
8,8,worst texture,20.645000457763672,9,12,0,1,False,,0.9339801494368244,0.06601985056317625
9,9,worst perimeter,116.79999923706055,10,11,8,2,False,,0.5033557046979866,0.4966442953020136
10,10,LEAF_NODE,-2.0,-1,-1,9,3,True,,0.0,1.0
11,11,LEAF_NODE,-2.0,-1,-1,9,3,True,,1.0,0.0
12,12,mean concave points,0.04112499952316284,13,14,8,2,False,,0.9729992702505473,0.02700072974945274
13,13,LEAF_NODE,-2.0,-1,-1,12,3,True,,0.6281407035175879,0.3718592964824121
14,14,LEAF_NODE,-2.0,-1,-1,12,3,True,,1.0,0.0
