,node_number,feature,threshold,children_left,children_right,mother_node,node_depth,is_leaves,values,0,1
0,0,worst perimeter,106.0999984741211,1,22,-1,0,False,,0.5000000000000014,0.5000000000000023
1,1,worst concave points,0.1347000002861023,2,15,0,1,False,,0.0689769341132326,0.9310230658867681
2,2,area error,47.03499984741211,3,12,1,2,False,,0.029536862003780726,0.9704631379962197
3,3,smoothness error,0.003294000052846968,4,7,2,3,False,,0.015124016938898973,0.9848759830611014
4,4,fractal dimension error,0.0013230000040493906,5,6,3,4,False,,0.29691211401425177,0.7030878859857482
5,5,LEAF_NODE,-2.0,-1,-1,4,5,True,,1.0,0.0
6,6,LEAF_NODE,-2.0,-1,-1,4,5,True,,0.0,1.0
7,7,worst texture,33.35000038146973,8,9,3,4,False,,0.007759637469737411,0.9922403625302627
8,8,LEAF_NODE,-2.0,-1,-1,7,5,True,,0.0,1.0
9,9,worst texture,33.55999946594238,10,11,7,5,False,,0.09549274255156609,0.904507257448434
10,10,LEAF_NODE,-2.0,-1,-1,9,6,True,,1.0,0.0
11,11,LEAF_NODE,-2.0,-1,-1,9,6,True,,0.0,1.0
12,12,mean symmetry,0.16565000265836716,13,14,2,3,False,,0.6281407035175879,0.37185929648241206
13,13,LEAF_NODE,-2.0,-1,-1,12,4,True,,1.0,0.0
14,14,LEAF_NODE,-2.0,-1,-1,12,4,True,,0.0,1.0
15,15,worst area,724.0499877929688,16,17,1,2,False,,0.628140703517588,0.37185929648241217
16,16,LEAF_NODE,-2.0,-1,-1,15,3,True,,0.0,1.0
17,17,mean radius,14.850000381469727,18,21,15,3,False,,0.9101941747572814,0.08980582524271845
18,18,worst area,734.5,19,20,17,4,False,,1.0,0.0
19,19,LEAF_NODE,-2.0,-1,-1,18,5,True,,1.0,0.0
20,20,LEAF_NODE,-2.0,-1,-1,18,5,True,,1.0,0.0
21,21,LEAF_NODE,-2.0,-1,-1,17,4,True,,0.0,1.0
22,22,mean concave points,0.04951999895274639,23,28,0,1,False,,0.9137620510647319,0.08623794893526879
23,23,concave points error,0.010125500150024891,24,27,22,2,False,,0.49840510366826174,0.5015948963317386
24,24,mean texture,15.805000305175781,25,26,23,3,False,,0.771604938271605,0.2283950617283951
25,25,LEAF_NODE,-2.0,-1,-1,24,4,True,,0.0,1.0
26,26,LEAF_NODE,-2.0,-1,-1,24,4,True,,1.0,0.0
27,27,LEAF_NODE,-2.0,-1,-1,23,3,True,,0.0,1.0
28,28,radius error,0.1918499991297722,29,30,22,2,False,,0.9773976786805133,0.02260232131948691
29,29,LEAF_NODE,-2.0,-1,-1,28,3,True,,0.0,1.0
30,30,fractal dimension error,0.012769999913871288,31,36,28,3,False,,0.9863148810257676,0.013685118974232548
31,31,worst concavity,0.18940000236034393,32,33,30,4,False,,0.9908347783007184,0.009165221699281662
32,32,LEAF_NODE,-2.0,-1,-1,31,5,True,,0.0,1.0
33,33,radius error,0.246799997985363,34,35,31,5,False,,0.9953962921488118,0.0046037078511882625
34,34,LEAF_NODE,-2.0,-1,-1,33,6,True,,0.8351893095768373,0.1648106904231626
35,35,LEAF_NODE,-2.0,-1,-1,33,6,True,,1.0,0.0
36,36,LEAF_NODE,-2.0,-1,-1,30,4,True,,0.0,1.0
