,node_number,feature,threshold,children_left,children_right,mother_node,node_depth,is_leaves,values,0,1
0,0,worst perimeter,106.0999984741211,1,8,-1,0,False,,0.5000000000000014,0.5000000000000023
1,1,worst concave points,0.13520000129938126,2,5,0,1,False,,0.0689769341132326,0.9310230658867682
2,2,mean radius,14.980000019073486,3,4,1,2,False,,0.007619628162145686,0.9923803718378544
3,3,LEAF_NODE,-2.0,-1,-1,2,3,True,,0.0,1.0
4,4,LEAF_NODE,-2.0,-1,-1,2,3,True,,1.0,0.0
5,5,worst texture,23.47000026702881,6,7,1,2,False,,0.6552125800815376,0.3447874199184625
6,6,LEAF_NODE,-2.0,-1,-1,5,3,True,,0.0,1.0
7,7,LEAF_NODE,-2.0,-1,-1,5,3,True,,0.8837391987431265,0.11626080125687353
8,8,worst texture,21.675000190734863,9,12,0,1,False,,0.9137620510647321,0.0862379489352688
9,9,worst perimeter,120.45000076293945,10,11,8,2,False,,0.41993281075028,0.5800671892497202
10,10,LEAF_NODE,-2.0,-1,-1,9,3,True,,0.0,1.0
11,11,LEAF_NODE,-2.0,-1,-1,9,3,True,,1.0,0.0
12,12,worst smoothness,0.10029999911785126,13,14,8,2,False,,0.9653639129417274,0.03463608705827296
13,13,LEAF_NODE,-2.0,-1,-1,12,3,True,,0.0,1.0
14,14,LEAF_NODE,-2.0,-1,-1,12,3,True,,0.9780675755779492,0.021932424422051025
